Y	X	Z
10502.8	2905.21	-1337.36
10502.33	2935.34	-1348.14
10502.92	3025.8	-1380.27
10503.67	3056.04	-1390.68
10504.51	3086.3	-1401.07
10505.46	3116.52	-1411.56
10506.1	3146.83	-1421.79
10506.18	3177.31	-1431.55
10505.96	3207.8	-1441.25
10505.54	3238.26	-1451.03
10505.26	3299.2	-1470.6
10505.48	3360.1	-1490.27
10505.37	3390.56	-1500.08
10505.88	3482.12	-1528.94
10506.29	3512.67	-1538.43
10506.69	3543.25	-1547.87
10506.99	3573.84	-1557.25
10507.5	3666.68	-1585.37
10507.47	3697.39	-1594.35
10507.3	3758.64	-1612.9
10507.33	3789.06	-1622.84
10508.06	3849.76	-1643.09
10508.79	3879.13	-1653
10510.22	3938.7	-1673.46
10510.85	3969.91	-1684.15
10511.75	4030.51	-1704.72
10511.91	4121.42	-1735.57
10511.75	4211.99	-1767.38
10512	4242.02	-1778.43
10512.44	4302.01	-1800.74
10512.78	4391.69	-1834.99
10512.91	4414.93	-1844.19

Y	X	Z
146	-0.05	-0.1
328	-0.4	-0.03
424	-0.64	0.47
521	-0.85	1.11
613	-1.11	1.8
705.99	-1.42	2.64
797.99	-1.62	3.31
890.99	-2.15	4.04
983.98	-3	5.07
1075.97	-3.96	6.42
1168.95	-5.18	7.81
1260.93	-6.31	9.17
1353.92	-7.15	10.73
1447.9	-7.78	12.34
1541.89	-8.38	14.04
1635.86	-8.84	16.26
1729.83	-9.42	18.69
1823.79	-9.78	21.24
1917.75	-9.87	23.93
2011.72	-10.44	26.56
2105.69	-11.21	28.92
2199.66	-12.28	30.6
2226.66	-12.72	31.03
2326.63	-14.02	32.87
2388.63	-14.35	33.72
2482.62	-13.3	33.44
2576.59	-11.22	32.29
2670.56	-9.06	31.11
2765.52	-6.72	29.69
2859.48	-4.33	28.26
2953.43	-1.78	26.62
3047.38	0.65	24.56
3141.35	2.6	23.22
3235.34	4.12	22.86
3329.33	5.47	22.54
3423.32	6.68	22.3
3517.31	7.82	22.12
3611.31	8.79	22.03
3705.31	9.61	21.92
3799.29	11.11	22.69
3893.25	13.19	24.29
3988.23	15	25.6
4082.22	16.51	26.4
4176.21	17.78	26.68
4270.2	18.66	26.59
4364.19	19.98	26.78
4458.18	21.9	27.12
4552.16	23.42	26.92
4646.16	24.38	26.13
4739.15	25.27	25.72
4834.15	26.33	25.88
4927.14	27.69	26.3
5021.12	29.32	27.08
5115.11	30.71	27.78
5209.1	31.92	28.73
5303.09	33.03	29.66
5398.08	34.04	30.25
5492.08	34.78	30.55
5586.07	35.96	30.9
5680.05	37.7	31.3
5774.04	39.42	31.02
5868.02	41.25	29.94
5961.98	43.06	28.2
6055.96	44.81	26.91
6149.94	46.65	26.24
6243.92	48.31	25.35
6337.9	50.05	25.32
6431.88	52.15	26.26
6526.85	54.46	27.17
6620.81	56.84	27.78
6714.78	59.53	28.01
6808.73	62.64	28.09
6902.67	65.52	29.32
6996.62	67.86	31.51
7090.56	70.32	33.67
7184.52	72.27	35.55
7278.51	73.47	36.89
7372.49	74.77	38.25
7466.48	75.85	39.59
7560.47	76.28	40.54
7654.46	77.05	41.37
7748.44	78.75	42.36
7842.42	80.46	43.33
